Label	Area	Perim	Circ	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
imp	3.442	8.085	0.662	2.968	24.543	13.138	152.431	1.712	1.744	0.573	0.932
imp	0.56	3.28	0.654	1.27	21.347	13.935	40.446	0.642	2.053	0.487	0.957
imp	2.035	6.214	0.662	2.103	13.914	14.421	15.293	1.424	1.47	0.68	0.932
imp	1.825	5.6	0.732	1.812	10.592	14.326	143.297	1.546	1.062	0.941	0.955
imp	0.012	0.402	0.931	0.148	18.383	16.107	34.824	0.114	1.279	0.782	0.96
imp	0.021	0.706	0.541	0.229	3.064	18.098	28.926	0.171	1.31	0.763	0.797
imp	0.004	0.235	0.87	0.09	3.323	18.225	49.764	0.058	1.221	0.819	0.986
imp	2.348	9.276	0.343	2.598	3.455	3.122	71.381	1.58	1.917	0.522	0.82
imp	0.004	0.229	0.924	0.084	4.046	0.961	124.695	0.058	1.185	0.844	0.982
imp	0.009	0.364	0.816	0.142	4.781	1.463	45	0.1	1.345	0.743	0.939
imp	0.022	0.556	0.894	0.199	7.607	1.981	57.995	0.158	1.159	0.863	0.959
imp	2.257	6.219	0.733	2.248	14.527	1.849	132.047	1.348	1.664	0.601	0.959
imp	0.056	1.221	0.469	0.382	4.939	2.065	14.421	0.254	1.473	0.679	0.774
imp	3.431	8.084	0.66	2.984	22.852	2.409	152.936	1.694	1.78	0.562	0.931
imp	0.553	3.268	0.651	1.274	19.699	3.228	40.292	0.633	2.088	0.479	0.958
imp	2.035	6.23	0.659	2.106	12.266	3.724	15.57	1.428	1.471	0.68	0.93
imp	1.821	5.603	0.729	1.809	8.949	3.629	144.268	1.553	1.06	0.943	0.954
imp	0.013	0.414	0.919	0.152	16.735	5.409	33.69	0.113	1.302	0.768	0.952
imp	2.413	6.933	0.631	2.498	19.498	7.464	53.688	1.548	1.46	0.685	0.924
imp	3.695	7.945	0.736	2.759	8.468	5.531	92.085	1.906	1.478	0.676	0.951
imp	4.488	12.22	0.378	3.919	14.876	6.096	125.897	1.833	2.242	0.446	0.859
imp	2.282	10.289	0.271	2.76	0.824	9.815	77.959	1.349	1.938	0.516	0.879
imp	0.024	0.75	0.534	0.243	1.416	7.406	27.121	0.17	1.401	0.714	0.819
imp	1.697	5.634	0.672	1.943	11.268	8.415	143.068	1.261	1.339	0.747	0.928
imp	0.003	0.221	0.895	0.086	1.564	8.949	47.49	0.058	1.164	0.859	0.977
imp	2.769	7.674	0.591	2.452	9.287	11.167	111.481	1.806	1.461	0.684	0.945
imp	2.916	7.41	0.667	2.766	12.567	11.886	92.846	1.407	2.048	0.488	0.958
imp	0.061	1.31	0.448	0.5	10.254	0.486	56.646	0.185	2.931	0.341	0.8
imp	0.033	0.96	0.444	0.379	9.382	0.407	98.017	0.128	3.154	0.317	0.815
imp	1.899	11.961	0.167	2.238	8.399	0.676	119.409	1.441	1.432	0.698	0.799
imp	0.003	0.206	0.889	0.079	8.595	0.798	47.726	0.053	1.114	0.898	0.991
imp	0.007	0.378	0.596	0.144	6.651	0.872	36.027	0.079	2.116	0.473	0.803
imp	0.045	1.172	0.408	0.419	7.998	0.85	106.837	0.177	2.568	0.389	0.791
imp	0.006	0.315	0.811	0.119	9.44	1.812	57.724	0.073	1.584	0.631	0.933
imp	2.533	10.332	0.298	2.526	6.672	2.52	119.299	1.797	1.343	0.745	0.835
imp	2.898	6.842	0.778	2.362	12.456	3.745	131.463	1.572	1.534	0.652	0.965
imp	2.283	6.076	0.777	2.111	20.982	4.802	15.532	1.555	1.283	0.78	0.964
imp	3.357	9.758	0.443	3.117	16.936	5.367	121.13	1.571	2.007	0.498	0.937
imp	3.402	10.176	0.413	3.936	3.92	5.436	124.778	1.162	3.663	0.273	0.905
imp	2.617	7.193	0.636	2.511	8.405	6.582	151.332	1.311	1.9	0.526	0.93
imp	1.86	5.957	0.659	1.985	15.224	8.7	77.554	1.475	1.227	0.815	0.883
imp	2.287	6.405	0.701	2.276	20.243	9.324	176.274	1.476	1.428	0.7	0.921
imp	2.146	6.679	0.605	2.374	8.03	8.685	128.043	1.281	1.703	0.587	0.924
imp	2.733	7.267	0.65	2.329	1.891	12.065	40.954	1.604	1.448	0.691	0.942
imp	2.375	6.52	0.702	2.083	17.86	10.391	102.45	1.743	1.017	0.983	0.957
imp	26.93	22.827	0.649	8.093	8.743	13.687	162.606	5.637	1.293	0.773	0.912
imp	1.75	13.659	0.118	2.25	6.63	12.546	19.328	1.625	1.361	0.735	0.684
imp	0.01	0.41	0.762	0.15	8.061	12.134	47.862	0.104	1.568	0.638	0.886
imp	0.007	0.336	0.793	0.12	7.691	12.24	52.125	0.09	1.142	0.875	0.929
imp	0.004	0.224	0.905	0.083	8.246	12.198	129.806	0.058	1.091	0.917	0.992
imp	0.006	0.31	0.841	0.128	7.306	12.208	141.71	0.075	1.655	0.604	0.95
imp	0.002	0.178	0.899	0.067	8.103	12.234	135	0.048	1	1	1
imp	1.436	7.118	0.356	1.857	18.177	12.995	163.472	1.361	1.422	0.703	0.79
imp	0.018	0.52	0.859	0.192	18.928	12.863	37.185	0.143	1.315	0.76	0.953
imp	0.063	1.051	0.713	0.388	19.371	14.226	27.613	0.259	1.568	0.638	0.881
imp	0.002	0.178	0.899	0.067	19.181	14.131	135	0.048	1	1	1
imp	1.094	4.819	0.592	2.022	6.366	2.261	107.015	0.772	2.672	0.374	0.957
imp	0.029	0.939	0.414	0.376	12.837	3.249	162.838	0.118	3.915	0.255	0.753
